Date,Product,Category,Quantity,Price,Revenue,Customer_Gender,Age_Group
2024-01-01,Chemise Blanche,Limited Edition,13,103.8,1349.4,Male,25-34
2024-01-01,Chaussures Derby Noir,Beauté,21,132.7,2786.7,Male,45-54
2024-01-01,Jupe Plissée Beige,Limited Edition,39,297.4,11598.6,Male,18-24
2024-01-02,Jupe Plissée Beige,Accessoires,39,103.2,4024.8,Female,35-44
2024-01-02,"T-shirt ""Tounes Bel3arbi""",Limited Edition,49,269.9,13225.1,Female,25-34
2024-01-02,Parfum Oriental 100ml,Limited Edition,35,23.4,819.0,Female,18-24
2024-01-03,Sac à Main Luxe,Limited Edition,32,115.3,3689.6,Unknown,18-24
2024-01-04,Chaussures Derby Noir,Beauté,43,37.3,1603.9,Female,25-34
2024-01-05,Portefeuille Cuir,Beauté,46,191.0,8786.0,Female,25-34
2024-01-05,Écharpe Laine Rouge,Femme,11,231.2,2543.2,Unknown,18-24
2024-01-05,Montre Connectée Sport,Homme,23,186.6,4291.8,Female,45-54
2024-01-05,Lunettes de Soleil,Beauté,10,291.6,2916.0,Female,35-44
2024-01-05,Bracelet Argent 925,Beauté,11,244.7,2691.7,Female,45-54
2024-01-06,Parfum Oriental 100ml,Accessoires,47,281.9,13249.3,Male,25-34
2024-01-07,Sac à Dos Noir,Femme,7,77.2,540.4,Male,18-24
2024-01-08,Huile d'Argan Pure,Limited Edition,38,31.2,1185.6,Male,45-54
2024-01-08,Huile d'Argan Pure,Accessoires,18,289.1,5203.8,Female,35-44
2024-01-09,Huile d'Argan Pure,Homme,1,28.7,28.7,Unknown,25-34
2024-01-09,Boucles d'Oreilles Or,Beauté,23,290.2,6674.6,Unknown,35-44
2024-01-10,Ensemble Pyjama Satin,Limited Edition,13,140.4,1825.2,Female,18-24
2024-01-10,Parfum Oriental 100ml,Beauté,44,75.1,3304.4,Female,45-54
2024-01-12,Crème Visage Bio,Femme,8,25.4,203.2,Female,18-24
2024-01-12,Chaussures Derby Noir,Limited Edition,46,141.4,6504.4,Unknown,45-54
2024-01-13,Écharpe Laine Rouge,Beauté,30,168.8,5064.0,Male,18-24
2024-01-14,Sac à Main Luxe,Limited Edition,6,30.9,185.4,Male,25-34
